"Dataset ID","Dataset's Metis page","Dataset size","Provider","Data provider","Record ID","Last record index","Record edm:type","Record content tier","Record metadata tier","Link type","Link","Link server","Time of checking","Error"
"04802","https://metis.europeana.eu/dataset/edit/04802","101356","Institut national de l'audiovisuel",,"/04802/53216BD2312403F7BF22720101783C1F4EDA8F3B","1970-01-01T01:00:00+01:00","VIDEO","0","0","edm:isShownAt","http://www.ina.fr/art-et-culture/musique/video/I07098674/simon-stanciu-caravan-du-duke-ellington.fr.html#xtor=AL-3","http://www.ina.fr/","2023-11-02T13:55:19.805+01:00","Problem while processing http://www.ina.fr/art-et-culture/musique/video/I07098674/simon-stanciu-caravan-du-duke-ellington.fr.html#xtor=AL-3
  caused by:
Download failed of resource http://www.ina.fr/art-et-culture/musique/video/I07098674/simon-stanciu-caravan-du-duke-ellington.fr.html#xtor=AL-3. Status code 404 (message: Not Found)."
"05814","https://metis.europeana.eu/dataset/edit/05814","52","cIMeC - Institutul de Memorie Culturală",,"/05814/ae52f866_98ec_461c_bb70_a476e79b9227","2016-07-27T14:13:01.037+02:00","TEXT","4","0","edm:isShownAt","http://medievalia.com.ro/manuscrise/item/ms-sl-150","http://medievalia.com.ro/","2023-11-02T14:05:08.736+01:00","Problem while processing http://medievalia.com.ro/manuscrise/item/ms-sl-150
  caused by:
medievalia.com.ro: Name or service not known"
"05814","https://metis.europeana.eu/dataset/edit/05814","52","cIMeC - Institutul de Memorie Culturală",,"/05814/c0cb38c5_ad91_45ea_8b30_6db83dde6267","2016-07-27T14:13:01.293+02:00","TEXT","4","0","edm:isShownAt","http://medievalia.com.ro/manuscrise/item/ms-sl-150","http://medievalia.com.ro/","2023-11-02T14:05:08.736+01:00","Problem while processing http://medievalia.com.ro/manuscrise/item/ms-sl-150
  caused by:
medievalia.com.ro: Name or service not known"
"05815","https://metis.europeana.eu/dataset/edit/05815","742","cIMeC - Institutul de Memorie Culturală",,"/05815/folkmedia_ro_media_626_","2017-12-06T15:07:06.534+01:00","VIDEO","1","A","edm:isShownBy","http://www.budaivigado.hu/ftp/rmne//Mozgokep/Zene/Orendi_Istvan_VIdeo_ konvertalt(01.283-01.289)/Lassu magyaros/01.288.01.Lassu_magyaros.mp4","http://www.budaivigado.hu/","2023-11-02T14:05:55.267+01:00","Problem while processing http://www.budaivigado.hu/ftp/rmne//Mozgokep/Zene/Orendi_Istvan_VIdeo_ konvertalt(01.283-01.289)/Lassu magyaros/01.288.01.Lassu_magyaros.mp4
  caused by:
Illegal character in path at index 70: http://www.budaivigado.hu/ftp/rmne//Mozgokep/Zene/Orendi_Istvan_VIdeo_ konvertalt(01.283-01.289)/Lassu magyaros/01.288.01.Lassu_magyaros.mp4
  caused by:
Illegal character in path at index 70: http://www.budaivigado.hu/ftp/rmne//Mozgokep/Zene/Orendi_Istvan_VIdeo_ konvertalt(01.283-01.289)/Lass"
"07202","https://metis.europeana.eu/dataset/edit/07202","7993","Musée historique de Lausanne",,"/07202/SGCM_Consultation_aspx_id_141206","2014-07-09T11:59:48.562+02:00","IMAGE","0","0","edm:isShownAt","http://musees.lausanne.ch/SGCM/Consultation.aspx?id=141206","http://musees.lausanne.ch/","2023-10-12T06:18:40.043+02:00","Problem while processing http://musees.lausanne.ch/SGCM/Consultation.aspx?id=141206
  caused by:
Circular redirect to 'https://www.lausanne.ch/collections-musees/'
  caused by:
Circular redirect to 'https://www.lausanne.ch/collections-musees/'"
"07202","https://metis.europeana.eu/dataset/edit/07202","7993","Musée historique de Lausanne",,"/07202/SGCM_Consultation_aspx_id_141206","2014-07-09T11:59:48.562+02:00","IMAGE","0","0","edm:isShownBy","http://musees.lausanne.ch/SGCM/SGCMImages/ImgHD/Vignette/MHL141206_2.JPG","http://musees.lausanne.ch/","2023-10-12T06:17:52.655+02:00","Problem while processing http://musees.lausanne.ch/SGCM/SGCMImages/ImgHD/Vignette/MHL141206_2.JPG
  caused by:
Circular redirect to 'https://www.lausanne.ch/collections-musees/'
  caused by:
Circular redirect to 'https://www.lausanne.ch/collections-musees/'"
"07205","https://metis.europeana.eu/dataset/edit/07205","705","Musée historique de Lausanne",,"/07205/SGCM_Consultation_aspx_id_41157","2014-07-09T11:59:21.444+02:00","IMAGE","0","0","edm:isShownBy","http://musees.lausanne.ch/SGCM/SGCMImages/ImgHD/Vignette/MRV41157_2.JPG","http://musees.lausanne.ch/","2023-10-12T06:40:26.756+02:00","Problem while processing http://musees.lausanne.ch/SGCM/SGCMImages/ImgHD/Vignette/MRV41157_2.JPG
  caused by:
Circular redirect to 'https://www.lausanne.ch/collections-musees/'
  caused by:
Circular redirect to 'https://www.lausanne.ch/collections-musees/'"
"07205","https://metis.europeana.eu/dataset/edit/07205","705","Musée historique de Lausanne",,"/07205/SGCM_Consultation_aspx_id_42018","2014-07-09T11:59:22.006+02:00","IMAGE","0","0","edm:isShownBy","http://musees.lausanne.ch/SGCM/SGCMImages/ImgHD/Vignette/C_MRV42018_2.JPG","http://musees.lausanne.ch/","2023-10-12T06:40:16.402+02:00","Problem while processing http://musees.lausanne.ch/SGCM/SGCMImages/ImgHD/Vignette/C_MRV42018_2.JPG
  caused by:
Circular redirect to 'https://www.lausanne.ch/collections-musees/'
  caused by:
Circular redirect to 'https://www.lausanne.ch/collections-musees/'"
"07931","https://metis.europeana.eu/dataset/edit/07931","28550","Heidelberg University Library / Universitätsbibliothek Heidelber",,"/07931/diglit_cassirer_helbing1918_03_21bd1","2018-03-22T11:52:18.383+01:00","TEXT","4","A","edm:isShownBy","http://diglit.ub.uni-heidelberg.de/image/cassirer_helbing1918_03_21bd1/00000a.jpg/full/full/0/default.jpg","http://diglit.ub.uni-heidelberg.de/","2023-11-02T14:06:28.169+01:00","Problem while processing http://diglit.ub.uni-heidelberg.de/image/cassirer_helbing1918_03_21bd1/00000a.jpg/full/full/0/default.jpg
  caused by:
Download failed of resource http://diglit.ub.uni-heidelberg.de/image/cassirer_helbing1918_03_21bd1/00000a.jpg/full/full/0/default.jpg. Status code 404 (message: Not Found)."
"07931","https://metis.europeana.eu/dataset/edit/07931","28550","Heidelberg University Library / Universitätsbibliothek Heidelber",,"/07931/diglit_gruenpeter1929_03_26","2018-03-22T11:55:05.371+01:00","TEXT","4","A","edm:isShownBy","http://diglit.ub.uni-heidelberg.de/image/gruenpeter1929_03_26/000a.jpg/full/full/0/default.jpg","http://diglit.ub.uni-heidelberg.de/","2023-11-02T14:05:47.91+01:00","Problem while processing http://diglit.ub.uni-heidelberg.de/image/gruenpeter1929_03_26/000a.jpg/full/full/0/default.jpg
  caused by:
Download failed of resource http://diglit.ub.uni-heidelberg.de/image/gruenpeter1929_03_26/000a.jpg/full/full/0/default.jpg. Status code 404 (message: Not Found)."
